,,,,,,,,,,,,,,,,,,
UPDATA DATAMINI PC DI AREA TERMINAL CARGO,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 1A,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 2D,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 3,,,
,,,,,,,,,,,,,,,,,,
CARGO,,,,,Terminal 1A,,,,,Terminal 2D,,,,,Terminal 3,,,
,,,,,,,,,,,,,,,,,,
MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,Tahun,JUMLAH ,,MINI PC,MODEL ,Tahun,JUMLAH 
ASUS,VC65,2017,,,ASUS,VC65,2017,4,,ASUS,VC65,2017,0,,ASUS,VC65,2017,0
,NUC14MNK-B2,2025,,,,NUC14MNK-B2,2025,0,,,NUC14MNK-B2,2025,0,,,NUC14MNK-B2,2025,0
,E520,,,,,E520,,,,,E520,,,,,E520,,0
INTEL NUC,NUC7i3BNH,2018,,,INTEL NUC,NUC7i3BNH,2018,27,,INTEL NUC,NUC7i3BNH,2018,2,,INTEL NUC,NUC7i3BNH,2018,0
,NUC5CPYH,2018,,,,NUC5CPYH,2018,0,,,NUC5CPYH,2018,0,,,NUC5CPYH,2018,5
HP,Thin Client t630,2018,,,HP,Thin Client t630,2018,19,,HP,Thin Client t630,2018,19,,HP,Thin Client t630,2018,4
,Thin Client t640,2023,,,,Thin Client t640,2023,1,,,Thin Client t640,2023,13,,,Thin Client t640,2023,164
,Thin Client Elite t655,2025,,,,Thin Client Elite t655,2025,7,,,Thin Client Elite t655,2025,9,,,Thin Client Elite t655,2025,113
CGEAR,D945GSEJT,2017,,,CGEAR,D945GSEJT,2017,7,,CGEAR,D945GSEJT,2017,1,,CGEAR,D945GSEJT,2017,2
FUJITECH,Smart PC,2017,,,FUJITECH,Smart PC,2017,1,,FUJITECH,Smart PC,2017,2,,FUJITECH,Smart PC,2017,0
