,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,FIDS - Display 001,General Departure T1A,1A,Departure,172.17.26.30,China,HP,Thin Client Elite t655,8CG5080SDG,DP dan VGA,58 GB,8GB,Win 10,2025,100,,Korea,LG,75XF3C,807KCRNND398,,"75""",2018,100,HDMI,ü,VGA TO HDMI,1,UPDATA DATAMINI PC DI AREA TERMINAL 1A,,,
,2,FIDS - Display 002,Departure Pintu Awak T1A,1A,Departure,172.17.26.31,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",500GB,2GB,Lubuntu,2012,70,,Korea,LG,65UH5C,805KCASKY160,,"65""",2018,100,VGA,ü,VGA TO HDMI,2,,,,
,3,FIDS - Display 003,Checkin Counter 1 T1A,1A,Checkin,172.17.26.34,China,HP,Thin Client t630,8CN944054P,DP dan VGA,30 GB,4 GB,Win 10,2019,105,,Korea,LG,43SM5KD-BH,802KCWCR8281,,"43""",2018,100,DP,,DP TO HDMI,3,Terminal 1A,,,
,4,FIDS - Display 004,Checkin Counter 2 T1A,1A,Checkin,172.17.26.35,China,INTELNUC,NUC7i3BNH,G6BN82100J5G,DP dan VGA,30 GB,4 GB,Win 10,2019,105,,Korea,LG,43SM5KD-BH,806KCFTKE395,,"43""",2018,100,DP,,DP TO HDMI,4,,,,
,6,FIDS - Display 006,Checkin Counter 4 T1A ,1A,Checkin,172.17.26.37,China,INTELNUC,NUC7i3BNH,G6BN82100G7S,HDMI,464 GB,4 GB,Win 10,2018,100,,Korea,LG,43SM5KD-BH,807KCGWMG143 ,,"43""",2018,100,HDMI,,HDMI,6,ASUS,VC65,2017,4
,7,FIDS - Display 007,Checkin Counter 5 T1A,1A,Checkin,172.17.26.38,China,INTELNUC,NUC7i3BNH,G6BN82100H23,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,807KCXMMG154,,"43""",2018,100,HDMI,,HDMI,7,,NUC14MNK-B2,2025,0
,8,FIDS - Display 008,Checkin Counter 6 T1A,1A,Checkin,172.17.26.39,China,INTELNUC,NUC7i3BNH,G6BN82100HRC,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,807KCASMG152,,"43""",2018,100,HDMI,,HDMI,8,INTEL NUC,NUC7i3BNH,2018,27
,9,FIDS - Display 009,Checkin Counter 7 T1A,1A,Checkin,172.17.26.40,China,INTELNUC,Thin Client Elite t655,8CG40935ZN,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KE-BJ,111INZY5F981,,"43""",2021,115,HDMI,,HDMI,9,,NUC5CPYH,2018,0
,10,FIDS - Display 010,Checkin Counter 8 T1A,1A,Checkin,172.17.26.41,China,INTELNUC,NUC7i3BNH,G6BN7390082K,HDMI,500 GB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCTBKE433,,"43""",2018,100,HDMI,,HDMI,10,HP,Thin Client t630,2018,19
,11,FIDS - Display 011,Checkin Counter 9 T1A,1A,Checkin,172.17.26.42,China,INTELNUC,NUC7i3BNH,G6BN735005C4,HDMI,464 GB,4 GB,Win 10,2018,100,,Korea,LG,43SM5KD-BH,803KCCVP0299,,"43""",2018,100,HDMI,,HDMI,11,,Thin Client t640,2023,1
,12,FIDS - Display 012,Checkin Counter 10 T1A,1A,Checkin,172.17.26.43,China,INTELNUC,NUC7i3BNH,G6BN82100HHP,HDMI,464 GB,4 GB,Win 10,2018,100,,Korea,LG,43SM5KD-BH,807KCGWMG095,,"43""",2018,100,HDMI,,HDMI,12,,Thin Client Elite t655,2024,7
,13,FIDS - Display 013,Checkin Counter 11 T1A,1A,Checkin,172.17.26.44,China,HP,Thin Client t630,8CN91608KM,DP dan VGA,30 GB,4 GB,Win 10,2019,105,,Korea,LG,43SM5KE-B,111INNG5G111,,"43""",2021,115,HDMI,,HDMI,13,CGEAR,D945GSEJT,2017,7
,14,FIDS - Display 014,Checkin Counter 12 T1A,1A,Checkin,172.17.26.45,China,INTELNUC,NUC7i3BNH,G6BN82100G89,HDMI,464 GB,4 GB,Win 10,2018,100,,Korea,LG,43SM5KE-B,111INJL5G116,,"43""",2021,115,HDMI,,HDMI,14,FUJITECH,Smart PC,2017,1
,15,FIDS - Display 015,Checkin Counter 13 T1A,1A,Checkin,172.17.26.46,China,INTELNUC,NUC7i3BNH,G6BN82100HHU,HDMI,1 TB,2 GB,Lubuntu,2018,100,,China,BOE,LDV 43AAAXX,D430132AA31020033,,"43""",2024,130,HDMI,,HDMI,15,ZOTAC,Zotac,,0
,16,FIDS - Display 016,Checkin Counter 14 T1A,1A,Checkin,172.17.26.47,China,INTELNUC,NUC7i3BNH,GNBN82100UH,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCUKKE414,,"43""",2018,100,HDMI,,HDMI,16,MINIX,NEO Z64-W10,,0
,17,FIDS - Display 017,Checkin Counter 15 T1A,1A,Checkin,172.17.26.48,China,INTELNUC,NUC7i3BNH,G6BN82100GX4,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KE-B,111INDPAV586  ,,"43""",2021,115,HDMI,,HDMI,17,GIGABYTE,GB-BSi3H-6100,2017,1
,18,FIDS - Display 018,Checkin Counter 16 T1A,1A,Checkin,172.17.26.49,China,INTELNUC,NUC7i3BNH,G6BN82100H60,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,BOE,LDV 43AAAXX,D430132AA310200021,,"43""",2024,130,HDMI,,HDMI,18,LENOVO,ThinkEdge SE10,2017,0
,19,FIDS - Display 019,Checkin Counter 17 T1A,1A,Checkin,172.17.26.50,China,INTELNUC,NUC7i3BNH,G6BN82100HHE,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCASKE440,,"43""",2018,100,HDMI,,HDMI,19,CYCRONE,MPC X3700,2017,2
,20,FIDS - Display 020,Checkin Counter 18 T1A,1A,Checkin,172.17.26.51,China,INTELNUC,NUC7i3BNH,G6BN82100H1Z,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCYQKE402,,"43""",2018,100,HDMI,,HDMI,20,DELL,"wyse, N07D001",2017,0
,21,FIDS - Display 021,Checkin Counter 19 T1A,1A,Checkin,172.17.26.52,China,INTELNUC,NUC7i3BNH,G6BN82100H43,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCMRKE435,,"43""",2018,100,HDMI,,HDMI,21,,Total Perangakat,,69
