---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
1,General Departure Curbside Pintu 1 T3,3U-INT,Departure,172.17.149.30,China,HP,Thin Client Elite t655,8CG5080SD5,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,Normal 50%,,Korea,LG,65LS33A,111INSE01222,"0 HDMI, 1 DP, 1 DVI-D","65""",2014,70%,,
2,General Departure Curbside Pintu 2 T3,3U-INT,Departure,172.17.149.31,China,HP,Thin Client Elite t655,8CG40936GQ,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,65LS33A,411KCFT1K643,"1 HDMI, 1 DP, 1 DVI-D","65""",2014,70%,,
3,General Departure Curbside Pintu 3 T3,3U-INT,Departure,172.17.149.29,China,HP,Thin Client t640,8CN1010LPX,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,30-05-2024,Korea,LG,65UH5F-HJ,111INQU01220,"3 HDMI, 1 DP, 1 DVI-D","65""",2023,Normal 70%,,
4,General Departure Curbside Pintu 4 T3,3U-DOM,Departure,172.17.149.28,China,HP,Thin Client t640,8CN0480K44,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-01-2024,Korea,LG,65UH5F-HJ,111INCN01219,"3 HDMI, 1 DP, 1 DVI-D","65""",2022,80%,,
5,General Departure Curbside Pintu 5 T3,3U-DOM,Departure,172.17.149.27,China,HP,Thin Client Elite t655,8CN2490GP1,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,65UN7300PTC,105INSE6G254,"3 HDMI, 1 DP, 1 DVI-D","65""",2022,Normal 100-%,,
6,Pedestal (Tower AC) Island A-B ,3U-INT,Checkin,172.17.150.168,.,.,.,,,,,,,,,,,,,,,,,,
7,Pedestal (Tower AC) Island B-C ,3U-INT,Checkin,172.17.150.170,China,LENOVO,ThinkEdge SE10,,,,,,,,,,,,,,,,,,
8,Pedestal (Tower AC) Island C ,3U-INT,Checkin,172.17.150.169,China,LENOVO,ThinkEdge SE10,,,,,,,,,,,,,,,,,,
9,Pedestal (Tower AC) Island D ,3U-DOM,Checkin,172.17.148.167,China,LENOVO,ThinkEdge SE10,,,,,,,,,,,,,,,,,,
10,Pedestal (Tower AC) Island D-E ,3U-DOM,Checkin,172.17.148.171,China,LENOVO,ThinkEdge SE10,,,,,,,,,,,,,,,,,,
11,Pedestal (Tower AC) Island E-F ,3U-DOM,Checkin,172.17.148.168,China,LENOVO,ThinkEdge SE10,,,,,,,,,,,,,,,,,,
12,General Checkin Standing Gate 1 Island A T3-INT,3U-INT,Checkin,172.17.150.117,China,HP,T640 Thin Client,8CN2490GQW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,65UQ751C0SF,112INNG2Z815,"3 HDMI, 1 DP, 1 DVI-D","65""",2023,Normal 95%,,
13,General Checkin Standing Depan Island B T3-INT,3U-INT,Checkin,172.17.150.241,China,HP,Thin Client Elite t655,8CN8210B7W,"2 DP, 1 RGB, 4 USB, 1 LAN",60 GB,,Windows 10,2020,Normal 90%,13-07-2021,China,BOE,SR75AA ,MBKAI07010013,2 HDMI,"75""",2023,Normal 95%,,
14,General Checkin Standing Depan Island E T3-DOM,3U-DOM,Checkin,172.17.149.241,China,HP,Thin Client t640,8CN2490GNT,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,China,BOE,SR75AA ,MBVE05300013,3 HDMI,"75""",2023,Normal 100%,,
15,General Checkin Standing Gate 5 Island F T3-DOM,3U-DOM,Checkin,172.17.148.171,China,HP,Thin Client t630,8CN83504KC,"1 HDMI, 1VGA",120 GB,4 GB,Windows 10,2018,Normal 50%,22-04-2021,Korea,LG,65UQ751C0SF,211INKH30613,"3 HDMI, 1 DP, 1 DVI-D","65""",2023,Normal 95%,19-06-2026,
16,Checkin Island A Self Baggage Drop Kiri T3,3U-INT,Checkin,172.17.150.84,.,.,.,8CN32608GB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Lubuntu,2023,Normal 90%,,Korea,LG,4LS35A,411KCLH16128,"3 HDMI, 1 DP, 1 DVI-D","42""",2014,Normal 90%,,
17,Checkin Island A Self Baggage Drop Kanan T3,3U-INT,Checkin,172.17.150.70,China,CYCRONE,MPC X3700,E000141200250,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-B,"111INVM5G023
","3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
18,Checkin Island B Self Baggage Drop Kiri T3-INT,3U-INT,Checkin,172.17.150.56,China,HP,Thin Client t640,8CN91608H4,"2 DP, 7 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2020,Normal 90%,12-06-2022,Korea,LG,43UH5F,411KCMR16131,"3 HDMI, 1 DP, 1 DVI-D","43""",2020,Normal 90%,,
19,Checkin Island B Self Baggage Drop Kanan T3-INT,3U-INT,Checkin,172.17.150.42,China,HP,Thin Client t640,8CN1010LMQ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43UH5F,004KCZPMQ965,"3 HDMI, 1 DP, 1 DVI-D","43""",2021,Normal 90%,,
20,Checkin Island C Self Baggage Drop Kiri T3-INT,3U-INT,Checkin,172.17.150.28,China,HP,Thin Client t640,8CN3280J03,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,11-09-2026,China,BOE,LDV43AAAXX,D430132AA310200069,2 HDMI,"43""",2024,Normal 100%,,
